年,品目大分類,品目分類,品目名(横),都道府県,品目名,農業団体(サンプル),未使用5,カウント
2014-01-01,1,1,米,山形県,米,農業団体I,0,668
2014-01-01,1,1,麦類,山形県,麦類,農業団体C,0,0
2014-01-01,1,1,雑穀,山形県,雑穀,農業団体D,0,4
2014-01-01,1,3,豆類,山形県,豆類,農業団体B,0,9
2014-01-01,1,2,いも類,山形県,いも類,農業団体E,0,4
2014-01-01,1,4,野菜,山形県,野菜,農業団体H,0,355
2014-01-01,1,4,果実,山形県,果実,農業団体E,0,642
2014-01-01,1,6,花き,山形県,花き,農業団体E,0,70
2014-01-01,1,5,工芸農作物,山形県,工芸農作物,農業団体F,0,5
2014-01-01,0,0,その他の作物,山形県,その他の作物,農業団体E,0,9
2014-01-01,2,7,肉用牛,山形県,肉用牛,農業団体F,0,110
2014-01-01,2,7,生乳,山形県,生乳,農業団体D,0,72
2014-01-01,2,7,生乳以外の乳用牛,山形県,生乳以外の乳用牛,農業団体I,0,9
2014-01-01,2,7,豚,山形県,豚,農業団体A,0,128
2014-01-01,2,7,鶏卵,山形県,鶏卵,農業団体D,0,24
2014-01-01,2,8,加工農産物,山形県,加工農産物,農業団体C,0,5
2014-01-01,1,1,米,福島県,米,農業団体B,0,529
2014-01-01,1,1,麦類,福島県,麦類,農業団体C,0,0
2014-01-01,1,1,雑穀,福島県,雑穀,農業団体A,0,4
2014-01-01,1,3,豆類,福島県,豆類,農業団体D,0,3
2014-01-01,1,2,いも類,福島県,いも類,農業団体G,0,19
2014-01-01,1,4,野菜,福島県,野菜,農業団体J,0,452
2014-01-01,1,4,果実,福島県,果実,農業団体C,0,248
2014-01-01,1,6,花き,福島県,花き,農業団体F,0,78
2014-01-01,1,5,工芸農作物,福島県,工芸農作物,農業団体H,0,13
2014-01-01,0,0,その他の作物,福島県,その他の作物,農業団体A,0,10
2014-01-01,2,7,肉用牛,福島県,肉用牛,農業団体J,0,111
2014-01-01,2,7,生乳,福島県,生乳,農業団体G,0,81
2014-01-01,2,7,生乳以外の乳用牛,福島県,生乳以外の乳用牛,農業団体D,0,10
2014-01-01,2,7,豚,福島県,豚,農業団体C,0,97
2014-01-01,2,7,鶏卵,福島県,鶏卵,農業団体I,0,141
2014-01-01,2,7,ブロイラー,福島県,ブロイラー,農業団体D,0,16
2014-01-01,2,7,その他の畜産物,福島県,その他の畜産物,農業団体C,0,20
2014-01-01,2,8,加工農産物,福島県,加工農産物,農業団体B,0,5
2014-01-01,1,1,米,茨城県,米,農業団体D,0,762
2014-01-01,1,1,麦類,茨城県,麦類,農業団体H,0,3
2014-01-01,1,1,雑穀,茨城県,雑穀,農業団体I,0,3
2014-01-01,1,3,豆類,茨城県,豆類,農業団体G,0,18
2014-01-01,1,2,いも類,茨城県,いも類,農業団体E,0,240
2014-01-01,1,4,野菜,茨城県,野菜,農業団体A,0,1707
2014-01-01,1,4,果実,茨城県,果実,農業団体D,0,132
2014-01-01,1,6,花き,茨城県,花き,農業団体E,0,136
2014-01-01,1,5,工芸農作物,茨城県,工芸農作物,農業団体J,0,14
2014-01-01,0,0,その他の作物,茨城県,その他の作物,農業団体C,0,9
2014-01-01,2,7,肉用牛,茨城県,肉用牛,農業団体G,0,144
2014-01-01,2,7,生乳,茨城県,生乳,農業団体F,0,158
2014-01-01,2,7,生乳以外の乳用牛,茨城県,生乳以外の乳用牛,農業団体D,0,17
2014-01-01,2,7,豚,茨城県,豚,農業団体A,0,414
2014-01-01,2,7,鶏卵,茨城県,鶏卵,農業団体J,0,411
2014-01-01,2,7,ブロイラー,茨城県,ブロイラー,農業団体D,0,35
2014-01-01,2,7,その他の畜産物,茨城県,その他の畜産物,農業団体C,0,22
2014-01-01,2,8,加工農産物,茨城県,加工農産物,農業団体E,0,66
2014-01-01,1,1,米,栃木県,米,農業団体G,0,467
2014-01-01,1,1,麦類,栃木県,麦類,農業団体D,0,27
2014-01-01,1,1,雑穀,栃木県,雑穀,農業団体G,0,7
2014-01-01,1,3,豆類,栃木県,豆類,農業団体F,0,10
2014-01-01,1,2,いも類,栃木県,いも類,農業団体E,0,12
2014-01-01,1,4,野菜,栃木県,野菜,農業団体E,0,803
2014-01-01,1,4,果実,栃木県,果実,農業団体H,0,87
2014-01-01,1,6,花き,栃木県,花き,農業団体A,0,66
2014-01-01,1,5,工芸農作物,栃木県,工芸農作物,農業団体F,0,7
2014-01-01,0,0,その他の作物,栃木県,その他の作物,農業団体I,0,9
2014-01-01,2,7,肉用牛,栃木県,肉用牛,農業団体H,0,200
2014-01-01,2,7,生乳,栃木県,生乳,農業団体G,0,323
2014-01-01,2,7,生乳以外の乳用牛,栃木県,生乳以外の乳用牛,農業団体G,0,43
2014-01-01,2,7,豚,栃木県,豚,農業団体B,0,271
2014-01-01,2,7,鶏卵,栃木県,鶏卵,農業団体I,0,129
2014-01-01,2,7,ブロイラー,栃木県,ブロイラー,農業団体A,0,7
2014-01-01,2,7,その他の畜産物,栃木県,その他の畜産物,農業団体H,0,17
2014-01-01,2,8,加工農産物,栃木県,加工農産物,農業団体J,0,9
2014-01-01,1,1,米,群馬県,米,農業団体G,0,114
2014-01-01,1,1,麦類,群馬県,麦類,農業団体E,0,11
2014-01-01,1,1,雑穀,群馬県,雑穀,農業団体F,0,1
2014-01-01,1,3,豆類,群馬県,豆類,農業団体B,0,4
2014-01-01,1,2,いも類,群馬県,いも類,農業団体G,0,10
2014-01-01,1,4,野菜,群馬県,野菜,農業団体A,0,920
2014-01-01,1,4,果実,群馬県,果実,農業団体I,0,91
2014-01-01,1,6,花き,群馬県,花き,農業団体I,0,48
2014-01-01,1,5,工芸農作物,群馬県,工芸農作物,農業団体A,0,91
2014-01-01,0,0,その他の作物,群馬県,その他の作物,農業団体I,0,4
2014-01-01,2,7,肉用牛,群馬県,肉用牛,農業団体A,0,121
2014-01-01,2,7,生乳,群馬県,生乳,農業団体I,0,243
2014-01-01,2,7,生乳以外の乳用牛,群馬県,生乳以外の乳用牛,農業団体G,0,33
2014-01-01,2,7,豚,群馬県,豚,農業団体I,0,411
2014-01-01,2,7,鶏卵,群馬県,鶏卵,農業団体F,0,140
2014-01-01,2,7,ブロイラー,群馬県,ブロイラー,農業団体B,0,63
2014-01-01,2,7,その他の畜産物,群馬県,その他の畜産物,農業団体G,0,29
2014-01-01,2,8,加工農産物,群馬県,加工農産物,農業団体F,0,1
2014-01-01,1,1,米,埼玉県,米,農業団体F,0,350
2014-01-01,1,1,麦類,埼玉県,麦類,農業団体A,0,10
2014-01-01,1,1,雑穀,埼玉県,雑穀,農業団体J,0,1
2014-01-01,1,3,豆類,埼玉県,豆類,農業団体H,0,2
2014-01-01,1,2,いも類,埼玉県,いも類,農業団体B,0,25
2014-01-01,1,4,野菜,埼玉県,野菜,農業団体J,0,967
2014-01-01,1,4,果実,埼玉県,果実,農業団体F,0,65
2014-01-01,1,6,花き,埼玉県,花き,農業団体E,0,165
2014-01-01,1,5,工芸農作物,埼玉県,工芸農作物,農業団体F,0,14
2014-01-01,0,0,その他の作物,埼玉県,その他の作物,農業団体C,0,13
2014-01-01,2,7,肉用牛,埼玉県,肉用牛,農業団体E,0,36
2014-01-01,2,7,生乳,埼玉県,生乳,農業団体D,0,65
2014-01-01,2,7,生乳以外の乳用牛,埼玉県,生乳以外の乳用牛,農業団体F,0,6
2014-01-01,2,7,豚,埼玉県,豚,農業団体D,0,69
2014-01-01,2,7,鶏卵,埼玉県,鶏卵,農業団体H,0,107
2014-01-01,2,8,加工農産物,埼玉県,加工農産物,農業団体F,0,1
2014-01-01,1,1,米,千葉県,米,農業団体E,0,585
2014-01-01,1,1,麦類,千葉県,麦類,農業団体J,0,2
2014-01-01,1,1,雑穀,千葉県,雑穀,農業団体H,0,0
2014-01-01,1,3,豆類,千葉県,豆類,農業団体B,0,83
2014-01-01,1,2,いも類,千葉県,いも類,農業団体A,0,207
2014-01-01,1,4,野菜,千葉県,野菜,農業団体F,0,1611
2014-01-01,1,4,果実,千葉県,果実,農業団体J,0,163
2014-01-01,1,6,花き,千葉県,花き,農業団体H,0,193
2014-01-01,1,5,工芸農作物,千葉県,工芸農作物,農業団体H,0,9
2014-01-01,0,0,その他の作物,千葉県,その他の作物,農業団体D,0,47
2014-01-01,2,7,肉用牛,千葉県,肉用牛,農業団体C,0,54
2014-01-01,2,7,生乳,千葉県,生乳,農業団体I,0,237
2014-01-01,2,7,生乳以外の乳用牛,千葉県,生乳以外の乳用牛,農業団体E,0,25
2014-01-01,2,7,豚,千葉県,豚,農業団体F,0,478
2014-01-01,2,7,鶏卵,千葉県,鶏卵,農業団体B,0,368
2014-01-01,2,7,ブロイラー,千葉県,ブロイラー,農業団体J,0,49
2014-01-01,2,7,その他の畜産物,千葉県,その他の畜産物,農業団体H,0,37
2014-01-01,2,8,加工農産物,千葉県,加工農産物,農業団体I,0,4
2014-01-01,1,1,米,東京都,米,農業団体C,0,1
2014-01-01,1,1,麦類,東京都,麦類,農業団体G,0,0
2014-01-01,1,1,雑穀,東京都,雑穀,農業団体I,0,0
2014-01-01,1,3,豆類,東京都,豆類,農業団体H,0,0
2014-01-01,1,2,いも類,東京都,いも類,農業団体I,0,12
2014-01-01,1,4,野菜,東京都,野菜,農業団体C,0,173
2014-01-01,1,4,果実,東京都,果実,農業団体B,0,32
2014-01-01,1,6,花き,東京都,花き,農業団体A,0,48
2014-01-01,1,5,工芸農作物,東京都,工芸農作物,農業団体H,0,0
2014-01-01,0,0,その他の作物,東京都,その他の作物,農業団体D,0,8
2014-01-01,2,7,肉用牛,東京都,肉用牛,農業団体B,0,1
2014-01-01,2,7,生乳,東京都,生乳,農業団体G,0,11
2014-01-01,2,7,生乳以外の乳用牛,東京都,生乳以外の乳用牛,農業団体E,0,1
2014-01-01,2,7,豚,東京都,豚,農業団体B,0,3
2014-01-01,2,7,鶏卵,東京都,鶏卵,農業団体I,0,4
2014-01-01,2,8,加工農産物,東京都,加工農産物,農業団体C,0,0
2014-01-01,1,1,米,神奈川県,米,農業団体A,0,35
2014-01-01,1,1,麦類,神奈川県,麦類,農業団体A,0,0
2014-01-01,1,1,雑穀,神奈川県,雑穀,農業団体J,0,0
2014-01-01,1,3,豆類,神奈川県,豆類,農業団体C,0,2
2014-01-01,1,2,いも類,神奈川県,いも類,農業団体D,0,15
2014-01-01,1,4,野菜,神奈川県,野菜,農業団体A,0,433
2014-01-01,1,4,果実,神奈川県,果実,農業団体A,0,80
2014-01-01,1,6,花き,神奈川県,花き,農業団体J,0,52
2014-01-01,1,5,工芸農作物,神奈川県,工芸農作物,農業団体E,0,2
2014-01-01,0,0,その他の作物,神奈川県,その他の作物,農業団体I,0,8
2014-01-01,2,7,肉用牛,神奈川県,肉用牛,農業団体B,0,9
2014-01-01,2,7,生乳,神奈川県,生乳,農業団体F,0,47
2014-01-01,2,7,生乳以外の乳用牛,神奈川県,生乳以外の乳用牛,農業団体G,0,5
2014-01-01,2,7,豚,神奈川県,豚,農業団体B,0,48
2014-01-01,2,7,鶏卵,神奈川県,鶏卵,農業団体I,0,41
2014-01-01,2,8,加工農産物,神奈川県,加工農産物,農業団体F,0,2
2014-01-01,1,1,米,新潟県,米,農業団体D,0,1296
2014-01-01,1,1,麦類,新潟県,麦類,農業団体C,0,0
2014-01-01,1,1,雑穀,新潟県,雑穀,農業団体C,0,2
2014-01-01,1,3,豆類,新潟県,豆類,農業団体B,0,12
2014-01-01,1,2,いも類,新潟県,いも類,農業団体E,0,22
2014-01-01,1,4,野菜,新潟県,野菜,農業団体I,0,383
2014-01-01,1,4,果実,新潟県,果実,農業団体B,0,88
2014-01-01,1,6,花き,新潟県,花き,農業団体D,0,96
2014-01-01,1,5,工芸農作物,新潟県,工芸農作物,農業団体B,0,12
2014-01-01,0,0,その他の作物,新潟県,その他の作物,農業団体G,0,2
2014-01-01,2,7,肉用牛,新潟県,肉用牛,農業団体H,0,28
2014-01-01,2,7,生乳,新潟県,生乳,農業団体H,0,59
2014-01-01,2,7,生乳以外の乳用牛,新潟県,生乳以外の乳用牛,農業団体E,0,7
2014-01-01,2,7,豚,新潟県,豚,農業団体H,0,146
2014-01-01,2,7,鶏卵,新潟県,鶏卵,農業団体C,0,222
2014-01-01,2,7,ブロイラー,新潟県,ブロイラー,農業団体I,0,14
2014-01-01,2,7,その他の畜産物,新潟県,その他の畜産物,農業団体E,0,59
2014-01-01,2,8,加工農産物,新潟県,加工農産物,農業団体A,0,1
2014-01-01,1,1,米,富山県,米,農業団体B,0,377
2014-01-01,1,1,麦類,富山県,麦類,農業団体A,0,4
2014-01-01,1,1,雑穀,富山県,雑穀,農業団体E,0,3
2014-01-01,1,3,豆類,富山県,豆類,農業団体E,0,12
2014-01-01,1,2,いも類,富山県,いも類,農業団体G,0,3
2014-01-01,1,4,野菜,富山県,野菜,農業団体G,0,52
2014-01-01,1,4,果実,富山県,果実,農業団体D,0,22
2014-01-01,1,6,花き,富山県,花き,農業団体E,0,11
2014-01-01,1,5,工芸農作物,富山県,工芸農作物,農業団体A,0,0
2014-01-01,0,0,その他の作物,富山県,その他の作物,農業団体I,0,2
2014-01-01,2,7,肉用牛,富山県,肉用牛,農業団体A,0,12
2014-01-01,2,7,生乳,富山県,生乳,農業団体D,0,13
2014-01-01,2,7,生乳以外の乳用牛,富山県,生乳以外の乳用牛,農業団体C,0,4
2014-01-01,2,7,豚,富山県,豚,農業団体J,0,20
2014-01-01,2,7,鶏卵,富山県,鶏卵,農業団体E,0,40
2014-01-01,2,8,加工農産物,富山県,加工農産物,農業団体J,0,6
2014-01-01,1,1,米,石川県,米,農業団体B,0,236
2014-01-01,1,1,麦類,石川県,麦類,農業団体H,0,1
2014-01-01,1,1,雑穀,石川県,雑穀,農業団体E,0,0
2014-01-01,1,3,豆類,石川県,豆類,農業団体E,0,5
2014-01-01,1,2,いも類,石川県,いも類,農業団体D,0,13
2014-01-01,1,4,野菜,石川県,野菜,農業団体J,0,90
2014-01-01,1,4,果実,石川県,果実,農業団体E,0,24
2014-01-01,1,6,花き,石川県,花き,農業団体C,0,7
2014-01-01,1,5,工芸農作物,石川県,工芸農作物,農業団体E,0,2
2014-01-01,0,0,その他の作物,石川県,その他の作物,農業団体G,0,3
2014-01-01,2,7,肉用牛,石川県,肉用牛,農業団体F,0,9
2014-01-01,2,7,生乳,石川県,生乳,農業団体I,0,25
2014-01-01,2,7,生乳以外の乳用牛,石川県,生乳以外の乳用牛,農業団体I,0,4
2014-01-01,2,7,豚,石川県,豚,農業団体G,0,15
2014-01-01,2,7,鶏卵,石川県,鶏卵,農業団体G,0,39
2014-01-01,2,8,加工農産物,石川県,加工農産物,農業団体H,0,2
2014-01-01,1,1,米,福井県,米,農業団体J,0,250
2014-01-01,1,1,麦類,福井県,麦類,農業団体G,0,5
2014-01-01,1,1,雑穀,福井県,雑穀,農業団体J,0,2
2014-01-01,1,3,豆類,福井県,豆類,農業団体G,0,4
2014-01-01,1,2,いも類,福井県,いも類,農業団体D,0,7
2014-01-01,1,4,野菜,福井県,野菜,農業団体D,0,66
2014-01-01,1,4,果実,福井県,果実,農業団体B,0,10
2014-01-01,1,6,花き,福井県,花き,農業団体C,0,7
2014-01-01,1,5,工芸農作物,福井県,工芸農作物,農業団体I,0,0
2014-01-01,0,0,その他の作物,福井県,その他の作物,農業団体I,0,4
2014-01-01,2,7,肉用牛,福井県,肉用牛,農業団体C,0,8
2014-01-01,2,7,生乳,福井県,生乳,農業団体D,0,8
2014-01-01,2,7,生乳以外の乳用牛,福井県,生乳以外の乳用牛,農業団体H,0,2
2014-01-01,2,7,豚,福井県,豚,農業団体B,0,3
2014-01-01,2,7,鶏卵,福井県,鶏卵,農業団体I,0,23
2014-01-01,2,8,加工農産物,福井県,加工農産物,農業団体G,0,1
2014-01-01,1,1,米,山梨県,米,農業団体C,0,49
2014-01-01,1,1,麦類,山梨県,麦類,農業団体G,0,0
2014-01-01,1,1,雑穀,山梨県,雑穀,農業団体H,0,1
2014-01-01,1,3,豆類,山梨県,豆類,農業団体H,0,1
2014-01-01,1,2,いも類,山梨県,いも類,農業団体A,0,3
2014-01-01,1,4,野菜,山梨県,野菜,農業団体A,0,106
2014-01-01,1,4,果実,山梨県,果実,農業団体I,0,504
2014-01-01,1,6,花き,山梨県,花き,農業団体D,0,30
2014-01-01,1,5,工芸農作物,山梨県,工芸農作物,農業団体I,0,1
2014-01-01,0,0,その他の作物,山梨県,その他の作物,農業団体I,0,20
2014-01-01,2,7,肉用牛,山梨県,肉用牛,農業団体E,0,10
2014-01-01,2,7,生乳,山梨県,生乳,農業団体H,0,19
2014-01-01,2,7,生乳以外の乳用牛,山梨県,生乳以外の乳用牛,農業団体D,0,5
2014-01-01,2,7,豚,山梨県,豚,農業団体E,0,13
2014-01-01,2,7,鶏卵,山梨県,鶏卵,農業団体B,0,19
2014-01-01,2,8,加工農産物,山梨県,加工農産物,農業団体F,0,8
2014-01-01,1,1,米,長野県,米,農業団体J,0,402
2014-01-01,1,1,麦類,長野県,麦類,農業団体F,0,4
2014-01-01,1,1,雑穀,長野県,雑穀,農業団体F,0,6
2014-01-01,1,3,豆類,長野県,豆類,農業団体G,0,7
2014-01-01,1,2,いも類,長野県,いも類,農業団体I,0,11
2014-01-01,1,4,野菜,長野県,野菜,農業団体C,0,837
2014-01-01,1,4,果実,長野県,果実,農業団体H,0,544
2014-01-01,1,6,花き,長野県,花き,農業団体I,0,144
2014-01-01,1,5,工芸農作物,長野県,工芸農作物,農業団体F,0,3
2014-01-01,0,0,その他の作物,長野県,その他の作物,農業団体G,0,33
2014-01-01,2,7,肉用牛,長野県,肉用牛,農業団体A,0,75
2014-01-01,2,7,生乳,長野県,生乳,農業団体B,0,110
2014-01-01,2,7,生乳以外の乳用牛,長野県,生乳以外の乳用牛,農業団体D,0,10
2014-01-01,2,7,豚,長野県,豚,農業団体I,0,54
2014-01-01,2,7,鶏卵,長野県,鶏卵,農業団体G,0,20
2014-01-01,2,7,ブロイラー,長野県,ブロイラー,農業団体H,0,22
2014-01-01,2,7,その他の畜産物,長野県,その他の畜産物,農業団体A,0,9
2014-01-01,2,8,加工農産物,長野県,加工農産物,農業団体B,0,32
2014-01-01,1,1,米,岐阜県,米,農業団体A,0,198
2014-01-01,1,1,麦類,岐阜県,麦類,農業団体I,0,3
2014-01-01,1,1,雑穀,岐阜県,雑穀,農業団体F,0,0
2014-01-01,1,3,豆類,岐阜県,豆類,農業団体C,0,7
2014-01-01,1,2,いも類,岐阜県,いも類,農業団体E,0,5
2014-01-01,1,4,野菜,岐阜県,野菜,農業団体B,0,324
2014-01-01,1,4,果実,岐阜県,果実,農業団体A,0,48
2014-01-01,1,6,花き,岐阜県,花き,農業団体G,0,66
2014-01-01,1,5,工芸農作物,岐阜県,工芸農作物,農業団体F,0,9
2014-01-01,0,0,その他の作物,岐阜県,その他の作物,農業団体B,0,5
2014-01-01,2,7,肉用牛,岐阜県,肉用牛,農業団体E,0,102
2014-01-01,2,7,生乳,岐阜県,生乳,農業団体I,0,46
2014-01-01,2,7,生乳以外の乳用牛,岐阜県,生乳以外の乳用牛,農業団体G,0,7
2014-01-01,2,7,豚,岐阜県,豚,農業団体F,0,71
2014-01-01,2,7,鶏卵,岐阜県,鶏卵,農業団体J,0,153
2014-01-01,2,7,ブロイラー,岐阜県,ブロイラー,農業団体F,0,25
2014-01-01,2,7,その他の畜産物,岐阜県,その他の畜産物,農業団体B,0,28
2014-01-01,2,8,加工農産物,岐阜県,加工農産物,農業団体E,0,1
2014-01-01,1,1,米,静岡県,米,農業団体A,0,173
2014-01-01,1,1,麦類,静岡県,麦類,農業団体G,0,1
2014-01-01,1,1,雑穀,静岡県,雑穀,農業団体B,0,0
2014-01-01,1,3,豆類,静岡県,豆類,農業団体F,0,1
2014-01-01,1,2,いも類,静岡県,いも類,農業団体G,0,37
2014-01-01,1,4,野菜,静岡県,野菜,農業団体E,0,598
2014-01-01,1,4,果実,静岡県,果実,農業団体A,0,283
2014-01-01,1,6,花き,静岡県,花き,農業団体H,0,175
2014-01-01,1,5,工芸農作物,静岡県,工芸農作物,農業団体B,0,231
2014-01-01,0,0,その他の作物,静岡県,その他の作物,農業団体B,0,25
2014-01-01,2,7,肉用牛,静岡県,肉用牛,農業団体B,0,90
2014-01-01,2,7,生乳,静岡県,生乳,農業団体I,0,88
2014-01-01,2,7,生乳以外の乳用牛,静岡県,生乳以外の乳用牛,農業団体D,0,12
2014-01-01,2,7,豚,静岡県,豚,農業団体E,0,82
2014-01-01,2,7,鶏卵,静岡県,鶏卵,農業団体E,0,157
2014-01-01,2,7,ブロイラー,静岡県,ブロイラー,農業団体A,0,33
2014-01-01,2,7,その他の畜産物,静岡県,その他の畜産物,農業団体E,0,40
2014-01-01,2,8,加工農産物,静岡県,加工農産物,農業団体H,0,128
2014-01-01,1,1,米,愛知県,米,農業団体F,0,250
2014-01-01,1,1,麦類,愛知県,麦類,農業団体E,0,8
2014-01-01,1,1,雑穀,愛知県,雑穀,農業団体C,0,0
2014-01-01,1,3,豆類,愛知県,豆類,農業団体I,0,17
2014-01-01,1,2,いも類,愛知県,いも類,農業団体D,0,13
2014-01-01,1,4,野菜,愛知県,野菜,農業団体I,0,1011
2014-01-01,1,4,果実,愛知県,果実,農業団体F,0,175
2014-01-01,1,6,花き,愛知県,花き,農業団体E,0,557
2014-01-01,1,5,工芸農作物,愛知県,工芸農作物,農業団体D,0,20
2014-01-01,0,0,その他の作物,愛知県,その他の作物,農業団体B,0,49
