発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
1990-08-25,1,3,ADV,ユタカ,機動警察パトレイバー狙われた街1990,"￥3,500","￥3,500代",0
1990-08-31,1,2,SPT,クエスト,バトルピンポン,"￥3,300","￥3,500代",0
1990-08-31,1,3,ACT,ハドソン,ボンバーボーイ,"￥3,500","￥3,500代",0
1990-09-14,1,3,SPT,ナムコ,ファミスタ,"￥3,500","￥3,500代",0
1990-09-14,1,3,SPT,ヒューマン,プロレス,"￥3,500","￥3,500代",0
1990-09-21,1,2,TBL,データイースト,サイドポケット,"￥3,300","￥3,500代",0
1990-09-21,1,2,ACT,カプコン,ダックテールズ,"￥3,300","￥3,500代",0
1990-09-21,1,2,PZL,ビクター音楽産業,バルダーダッシュ,"￥3,400","￥3,500代",0
1990-09-21,1,3,ACT,パック・イン・ビデオ,ルナランダー,"￥3,500","￥3,500代",0
1990-09-28,1,2,RAC,アスク講談社,F-1ボーイ,"￥3,300","￥3,500代",0
1990-09-28,1,3,ACT,ジャレコ,おいらじゃじゃ丸！世界大冒険,"￥3,400","￥3,500代",0
1990-10-05,1,2,ACT,トーワチキ,うぉーズ,"￥3,090","￥3,000代",0
1990-10-06,1,3,RPG,バンダイ,SDガンダム外伝ラクロアンヒーローズ,"￥3,800","￥4,000代",0
1990-10-10,1,3,SLG,光栄,信長の野望ゲームボーイ版,"￥5,800","￥6,000代",0
1990-10-12,1,2,ACT,アイ・ジー・エス,アストロラビー,"￥3,300","￥3,500代",0
1990-10-12,1,3,STG,コナミ,ツインビーだ！！,"￥3,500","￥3,500代",0
1990-10-12,1,1,PZL,ホット・ビィ,パラメデス,"￥3,300","￥3,500代",0
1990-10-16,1,3,ACT,HAL研究所,ゴーストバスターズ2,"￥3,400","￥3,500代",0
1990-10-19,1,2,ACT,バリエ,モンスタートラック,"￥3,200","￥3,000代",0
1990-10-19,1,3,RAC,トンキンハウス,ロードスター,"￥3,300","￥3,500代",0
1990-10-23,1,1,PZL,ココナッツジャパンエンターテイメント,アミーダくん阿弥陀,"￥2,980","￥3,000代",0
1990-10-23,1,3,SLG,任天堂,海戦ゲームレーダーミッション,"￥2,600","￥2,500代",0
1990-10-26,1,2,ACT,NCS,アフターバースト,"￥3,090","￥3,000代",0
1990-10-26,1,2,RPG,サミー工業,ベリウスローランの魔獣,"￥3,300","￥3,500代",0
1990-11-09,1,3,RAC,任天堂,F-1レース,"￥2,600","￥2,500代",0
1990-11-09,1,2,TBL,パック・イン・ビデオ,トランプボーイ2,"￥3,500","￥3,500代",0
1990-11-09,1,2,ACT,ジャレコ,ふしぎなブロビープリンセスブロブを救え！,"￥3,400","￥3,500代",0
1990-11-16,1,3,RPG,やのまん,アレサ,"￥3,800","￥4,000代",0
1990-11-16,1,2,ACT,ナムコ,パックマン,"￥3,500","￥3,500代",0
1990-11-16,1,2,ACT,エポック社,パラソルヘンべえ虹の大冒険,"￥3,300","￥3,500代",0
1990-11-30,1,2,ACT,コピアシステム,GO！GO！TANK,"￥3,400","￥3,500代",0
1990-11-30,1,2,PZL,ヘクト,キャデラック2,"￥3,300","￥3,500代",0
1990-11-30,1,3,ACT,セタ,バトルブル,"￥3,500","￥3,500代",0
1990-12-07,1,3,SLG,ユース,海戦ゲームNAVYBLUE'90,"￥3,500","￥3,500代",0
1990-12-07,1,1,PZL,キングレコード,ころダイス,"￥3,300","￥3,500代",0
1990-12-07,1,3,TBL,東映動画,スコットランドヤード,"￥3,300","￥3,500代",0
1990-12-07,1,2,RPG,タカラ,ちびまる子ちゃんおこづかい大作戦,"￥3,400","￥3,500代",0
1990-12-07,1,3,ACT,タイトー,バブルボブル,"￥3,600","￥3,500代",0
1990-12-07,1,2,ACT,シグマ商事,ペインターモモピー,"￥3,300","￥3,500代",0
1990-12-07,1,2,ACT,テクモ,ヘッドオン,"￥3,300","￥3,500代",0
1990-12-07,1,3,ACT,テクノスジャパン,熱血硬派くにおくん番外乱闘編,"￥3,500","￥3,500代",0
1990-12-08,1,3,RPG,バンプレスト,鬼忍降魔禄ONI,"￥3,800","￥4,000代",0
1990-12-11,1,2,ACT,アイレム,スパルタンX,"￥3,500","￥3,500代",0
1990-12-12,1,2,PZL,サン電子,プリプリ,"￥3,200","￥3,000代",0
1990-12-13,1,3,ACT,アイマックス,ドラゴンテール,"￥3,500","￥3,500代",0
1990-12-14,1,4,RPG,スクウェア,SaGa2秘宝伝説,"￥4,800","￥5,000代",0
1990-12-14,1,1,PZL,ハドソン,クラックス,"￥3,500","￥3,500代",0
1990-12-14,1,3,RPG,ケムコ,ネコジャラ物語,"￥3,300","￥3,500代",0
1990-12-14,1,2,SPT,アトラス,ポケットスタジアム,"￥3,300","￥3,500代",0
1990-12-14,1,2,PZL,ホット・ビィ,カード＆パズルコレクション銀河,"￥3,500","￥3,500代",0
1990-12-18,1,3,ACT,東宝,ゴジラくん怪獣大行進,"￥3,500","￥3,500代",0
1990-12-20,1,2,ACT,ナグザット,ポン太とヒナ子の珍道中友情編,"￥3,400","￥3,500代",0
1990-12-21,1,4,ETC,カプコン,カプコンクイズハテナ？の大冒険,"￥3,500","￥3,500代",0
1990-12-21,1,3,ACT,サン電子,グレムリン2新・種・誕・生,"￥3,400","￥3,500代",0
1990-12-21,1,3,STG,ジャレコ,バトルユニットZEOTH,"￥3,400","￥3,500代",0
1990-12-21,1,1,ACT,ポニーキャニオン,バブルゴースト,"￥3,090","￥3,000代",0
1990-12-21,1,2,TBL,ポニーキャニオン,石田芳夫の詰碁パラダイス,"￥3,400","￥3,500代",0
1990-12-22,1,3,RPG,ソフエル,モンスターメーカー,"￥3,500","￥3,500代",0
1990-12-22,1,3,ACT,カルチャーブレーン,飛龍の拳外伝,"￥3,500","￥3,500代",0
1990-12-23,1,4,ETC,トミー,アメリカ横断ウルトラクイズ,"￥3,980","￥4,000代",0
1990-12-31,1,3,RPG,エンジェル,ドルアーガの塔,"￥3,500","￥3,500代",0
1991-01-08,1,3,ACT,コナミ,コントラ,"￥3,500","￥3,500代",0
1991-01-08,1,3,STG,HAL研究所,突撃！ポンコツタンク,"￥3,300","￥3,500代",0
1991-01-11,1,3,ACT,タイトー,タイトーチェイスHQ,"￥3,600","￥3,500代",0
1991-01-25,1,2,ACT,アトラス,突撃ばれいしょんず,"￥3,300","￥3,500代",0
1991-02-08,1,3,ACT,日本物産,ライサンダー,"￥3,600","￥3,500代",0
1991-02-08,1,3,PZL,ココナッツジャパンエンターテイメント,鬼ヶ島パチンコ店,"￥3,500","￥3,500代",0
1991-02-15,1,3,ADV,アスク講談社,三毛猫ホームズの騎士道,"￥3,500","￥3,500代",0
1991-02-15,1,2,ACT,データイースト,バーガータイムデラックス,"￥3,300","￥3,500代",0
1991-02-26,1,3,ACT,ジャレコ,怒りの要塞,"￥3,400","￥3,500代",0
1991-02-28,1,3,RAC,コナミ,F-1スピリット,"￥3,500","￥3,500代",0
1991-02-28,1,2,RAC,アイレム,レーシング魂,"￥3,500","￥3,500代",0
1991-03-01,1,3,STG,エポック社,ドラえもん対決ひみつ道具,"￥3,500","￥3,500代",0
1991-03-01,1,3,ACT,エピック・ソニーレコード,ロボコップ,"￥3,500","￥3,500代",0
1991-03-08,1,4,TBL,ハドソン,スーパー桃太郎電鉄,"￥4,500","￥4,500代",0
1991-03-08,1,3,RPG,UPL,戦国忍者くん,"￥3,800","￥4,000代",0
1991-03-15,1,1,PZL,マインドスケープ,ループス,"￥3,090","￥3,000代",0
1991-03-19,1,3,STG,アイレム,R-TYPE,"￥3,600","￥3,500代",0
1991-03-20,1,3,RAC,バップ,ファーステストラップ,"￥3,800","￥4,000代",0
1991-03-29,1,2,PZL,ビック東海,ジェムジェム,"￥3,800","￥4,000代",0
1991-03-29,1,3,RAC,ナムコ,ファミリージョッキー,"￥3,500","￥3,500代",0
1991-04-05,1,2,PZL,テクモ,ソロモンズ倶楽部,"￥3,300","￥3,500代",0
1991-04-05,1,4,STG,コナミ,パロディウスだ！！,"￥3,800","￥4,000代",0
1991-04-12,1,2,STG,東映動画,ファイナルリバース,"￥3,400","￥3,500代",0
1991-04-12,1,3,SPT,アテナ,ワールドアイスホッケー,"￥3,500","￥3,500代",0
1991-04-19,1,3,RPG,コナミ,カーブノア,"￥3,800","￥4,000代",0
1991-04-19,1,3,SLG,徳間書店,リトルマスターライクバーンの伝説,"￥4,200","￥4,000代",0
1991-04-19,1,2,ACT,ヒューマン,茶々丸パニック,"￥2,900","￥3,000代",0
1991-04-20,1,3,SLG,バンプレスト,スーパーロボット大戦,"￥3,980","￥4,000代",0
1991-04-26,1,3,ACT,ケムコ,ミッキーマウス2,"￥3,090","￥3,000代",0
1991-04-26,1,2,SPT,A-WAVE,ミニバット,"￥3,400","￥3,500代",0
1991-04-26,1,2,ACT,ナツメ,ラッキーモンキー,"￥3,090","￥3,000代",0
1991-04-26,1,3,ACT,アイマックス,相撲ファイター東海道場所,"￥3,500","￥3,500代",0
1991-04-26,1,3,SPT,テクノスジャパン,熱血高校サッカー部ワールドカップ編,"￥3,500","￥3,500代",0
1991-04-27,1,3,ACT,ユタカ,からくり剣豪伝ムサシロード,"￥3,500","￥3,500代",0
1991-04-27,1,3,ACT,セタ,トーピドー・レンジ,"￥3,800","￥4,000代",0
1991-05-10,1,3,ACT,ココナッツジャパンエンターテイメント,キッチンパニック,"￥3,800","￥4,000代",0
1991-05-11,1,2,PZL,キャラクターソフト,サンリオカーニバル,"￥3,296","￥3,500代",0
1991-05-17,1,3,ACT,キングレコード,ラブルセイバー,"￥3,500","￥3,500代",0
1991-05-17,1,3,SLG,アスミック,一発逆転！！DX馬券王,"￥5,900","￥6,000代",0
1991-05-18,1,3,ACT,バンダイ,SDコマンドガンダムG-ARMSオペレーションガンダム,"￥3,500","￥3,500代",0
1991-05-21,1,4,SLG,任天堂,ゲームボーイウォーズ,"￥3,500","￥3,500代",0
1991-05-24,1,3,ACT,アスミック,アスミッくんワールド2,"￥3,900","￥4,000代",0
1991-05-24,1,3,ACT,ナグザット,スノーブラザーズジュニア,"￥3,800","￥4,000代",0
1991-05-31,1,3,RPG,クエスト,レジェンド明日への翼,"￥4,500","￥4,500代",0
1991-06-07,1,3,SPT,トンキンハウス,サッカー,"￥3,500","￥3,500代",0
1991-06-12,1,3,SLG,ヒロ,大戦略,"￥4,800","￥5,000代",0
1991-06-15,1,3,ACT,バンダイ,マジカル☆タルるートくん,"￥3,500","￥3,500代",0
1991-06-21,1,4,RPG,ポニーキャニオン,ジャングルウォーズ,"￥4,800","￥5,000代",0
1991-06-21,1,3,STG,ビクター音楽産業,チョップリフター2,"￥3,400","￥3,500代",0
1991-06-28,1,3,STG,ビック東海,エアロスター,"￥3,300","￥3,500代",0
1991-06-28,1,3,RPG,タカラ,人生ゲーム伝説,"￥3,980","￥4,000代",0
1991-06-28,1,4,RPG,スクウェア,聖剣伝説ファイナルファンタジー外伝,"￥4,800","￥5,000代",0
1991-07-11,1,3,ACT,アイレム,元祖！！ヤンチャ丸,"￥3,600","￥3,500代",0
1991-07-12,1,3,STG,アイ・ジー・エス,ヴァトルギウス,"￥3,900","￥4,000代",0
1991-07-12,1,3,ACT,コナミ,ドラキュラ伝説2,"￥3,800","￥4,000代",0
1991-07-16,1,2,PZL,東映動画,紫禁城,"￥3,500","￥3,500代",0
1991-07-19,1,2,PZL,BPS,ハットリス,"￥3,500","￥3,500代",0
1991-07-21,1,1,PZL,ポニーキャニオン,恋は駆け引き,"￥3,090","￥3,000代",0
1991-07-26,1,3,ACT,ジャレコ,バニシングレーサー,"￥3,500","￥3,500代",0
1991-07-26,1,4,ACT,カプコン,ロックマンワールド,"￥3,500","￥3,500代",0
1991-08-02,1,2,PZL,アトラス,パズルボーイ2,"￥2,980","￥3,000代",0
1991-08-02,1,4,SLG,アスキー,フリートコマンダーVS.,"￥4,635","￥4,500代",0
1991-08-02,1,3,RPG,ヒューマン,茶々丸冒険記3アビスの塔,"￥3,900","￥4,000代",0
1991-08-03,1,2,ACT,バンプレスト,ペケとポコのダルマンバスターズ,"￥3,300","￥3,500代",0
1991-08-09,1,2,ACT,タイトー,エレベーターアクション,"￥3,400","￥3,500代",0
1991-08-09,1,4,STG,コナミ,ネメシス2,"￥3,800","￥4,000代",0
1991-08-09,1,1,ACT,ノバ,バトルシティ,"￥3,090","￥3,000代",0
1991-08-09,1,3,PZL,アスミック,メガリット,"￥3,900","￥4,000代",0
1991-08-09,1,3,SPT,徳間書店,東尾修監修プロ野球スタジアム'91,"￥4,200","￥4,000代",0
1991-08-23,1,3,ACT,サン電子,ボンバーキングシナリオ2,"￥3,400","￥3,500代",0
1991-09-13,1,3,ADV,タカラ,ちびまる子ちゃん2デラックスまる子ワールド,"￥3,800","￥4,000代",0
1991-09-13,1,3,RPG,タイトー,ナイトクエスト,"￥3,600","￥3,500代",0
1991-09-13,1,4,RPG,ハドソン,時空戦記ムー,"￥4,500","￥4,500代",0
1991-09-20,1,3,ETC,NCS,ウイナーズホース,"￥4,000","￥4,000代",0
1991-09-27,1,4,RPG,やのまん,アレサ2,"￥4,800","￥5,000代",0
1991-09-27,1,4,SPT,テクモ,テクモボウルGB,"￥3,800","￥4,000代",0
1991-09-27,1,3,RPG,タカラ,少年アシベゆうえんちパニック,"￥3,800","￥4,000代",0
1991-10-01,1,4,RPG,アスキー,ウィザードリィ外伝1女王の受難,"￥4,635","￥4,500代",0
1991-10-18,1,3,RPG,ビック東海,ザードの伝説,"￥3,980","￥4,000代",0
1991-10-25,1,3,ACT,エピック・ソニーレコード,ドラゴンズ・レア,"￥3,500","￥3,500代",0
1991-11-01,1,3,SPT,コナミ,コナミックゴルフ,"￥3,800","￥4,000代",0
1991-11-08,1,3,SPT,テクノスジャパン,熱血高校ドッジボール部強敵！闘球戦士の巻,"￥3,600","￥3,500代",0
1991-11-15,1,4,ACT,コナミ,TMNT2,"￥3,800","￥4,000代",0
1991-11-22,1,3,PZL,シグマ商事,ポパイ2,"￥3,500","￥3,500代",0
1991-11-22,1,2,PZL,ヨネザワ,秘伝陰陽気功法図式謎遊戯華佗,"￥3,500","￥3,500代",0
1991-11-29,1,3,PZL,エピック・ソニーレコード,アルタードスペース,"￥3,500","￥3,500代",0
1991-11-29,1,4,RPG,カルチャーブレーン,スーパーチャイニーズランド2宇宙大冒険,"￥3,980","￥4,000代",0
1991-12-03,1,3,SPT,ナムコ,ナムコクラシック,"￥3,500","￥3,500代",0
1991-12-06,1,3,SPT,トンキンハウス,ドッジボーイ,"￥3,500","￥3,500代",0
1991-12-13,1,1,SLG,パック・イン・ビデオ,マインスウィーパー掃海艇,"￥3,500","￥3,500代",0
1991-12-13,1,4,RPG,スクウェア,SaGa3時空の覇者[完結編],"￥4,900","￥5,000代",0
1991-12-13,1,3,STG,タイトー,サーガイア,"￥3,600","￥3,500代",0
1991-12-13,1,3,ETC,ココナッツジャパンエンターテイメント,パチンコ西遊記,"￥3,900","￥4,000代",0
1991-12-13,1,3,TBL,メルダック,バトルオブキングダム,"￥3,800","￥4,000代",0
1991-12-13,1,3,SPT,アイ・ジー・エス,ワールドビーチバレー1991GBカップ,"￥3,900","￥4,000代",0
1991-12-13,1,3,ACT,テクモ,忍者龍剣伝GB摩天楼決戦,"￥3,800","￥4,000代",0
1991-12-14,1,3,RPG,ポニーキャニオン,ウルティマ失われたルーン,"￥4,800","￥5,000代",0
1991-12-14,1,3,ETC,ユタカ,きんぎょ注意報！わぴ子のわくわくスタンプラリー！,"￥3,500","￥3,500代",0
1991-12-14,1,2,PZL,任天堂,ヨッシーのたまご,"￥2,600","￥2,500代",0
1991-12-20,1,4,ETC,トミー,アメリカ横断ウルトラクイズPART2,"￥3,980","￥4,000代",0
1991-12-20,1,4,TBL,トミー,モノポリー,"￥3,980","￥4,000代",0
1991-12-20,1,4,ACT,カプコン,ロックマンワールド2,"￥3,500","￥3,500代",0
1991-12-20,1,3,STG,アイレム,太陽の勇者ファイバードGB,"￥3,800","￥4,000代",0
1991-12-25,1,4,ACT,コナミ,がんばれゴエモンさらわれたエビス丸,"￥3,800","￥4,000代",0
1991-12-26,1,4,RPG,ハドソン,桃太郎伝説外伝,"￥4,500","￥4,500代",0
1991-12-27,1,2,ACT,NCS,ジャンケンマン,"￥3,600","￥3,500代",0
1991-12-27,1,3,PZL,KANEKO,ピータン,"￥3,600","￥3,500代",0
1991-12-27,1,3,RAC,バリエ,中嶋悟監修F-1HEROGBWORLDCHAMPIONSHIP'91,"￥3,500","￥3,500代",0
1991-12-28,1,2,ACT,トミー,絶対無敵ライジンオー,"￥3,200","￥3,000代",0
1991-12-29,1,3,FTG,ベック,ウルトラマン,"￥3,500","￥3,500代",0
1992-01-08,1,3,SLG,タカラ,機甲警察メタルジャック,"￥3,800","￥4,000代",0
1992-01-10,1,3,SLG,ヒューマン,トキオ戦記英雄列伝,"￥4,500","￥4,500代",0
1992-01-14,1,2,PZL,ジャレコ,Q-bert,"￥4,200","￥4,000代",0
1992-01-18,1,4,SLG,バンダイ,SD戦国伝2天下統一編,"￥4,800","￥5,000代",0
1992-01-21,1,4,ACT,任天堂,メトロイド2リターンオブサムス,"￥3,500","￥3,500代",0
1992-01-24,1,2,ACT,バップ,しっぽでブン！！,"￥3,800","￥4,000代",0
1992-01-24,1,3,TBL,ナムコ,雀卓ボーイ,"￥3,500","￥3,500代",0
1992-01-31,1,3,RPG,アテナ,TWIN,"￥3,900","￥4,000代",0
1992-02-01,1,3,ACT,コナミ,タイニートゥーンアドベンチャーズ,"￥3,500","￥3,500代",0
1992-02-14,1,3,SPT,ホット・ビィ,WWFスーパースターズ,"￥3,900","￥4,000代",0
1992-02-14,1,3,SPT,ヒロ,トラックミート目指せバルセロナ,"￥3,800","￥4,000代",0
1992-02-21,1,3,RPG,サミー工業,ベリウス2復讐の邪神,"￥4,200","￥4,000代",0
1992-02-21,1,3,ACT,ジャレコ,怒りの要塞2,"￥3,900","￥4,000代",0
1992-02-28,1,4,RPG,バンプレスト,ONI2隠忍伝説,"￥4,980","￥5,000代",0
1992-02-28,1,3,TBL,バリエ,新世紀GPXサイバーフォーミュラ,"￥3,980","￥4,000代",0
1992-02-28,1,3,ACT,ナムコ,平成天才バカボン,"￥3,500","￥3,500代",0
1992-03-06,1,3,RPG,エポック社,ドラゴンスレイヤー外伝眠りの王冠,"￥4,500","￥4,500代",0
1992-03-06,1,2,ACT,キングレコード,ラブルセイバー2,"￥3,800","￥4,000代",0
1992-03-06,1,3,ACT,ハドソン,高橋名人の冒険島2,"￥3,800","￥4,000代",0
1992-03-13,1,3,ACT,エピック・ソニーレコード,ハドソン・ホーク,"￥3,500","￥3,500代",0
1992-03-13,1,4,ACT,メルダック,読本夢五誉身天神怪戦2,"￥4,500","￥4,500代",0
1992-03-19,1,3,SPT,バップ,スーパーストリートバスケットボール,"￥4,200","￥4,000代",0
1992-03-19,1,3,ACT,エピック・ソニーレコード,ロボコップ2,"￥3,500","￥3,500代",0
1992-03-27,1,4,SLG,テクモ,キャプテン翼VS,"￥4,200","￥4,000代",0
1992-03-27,1,3,RAC,アトラス,チキチキマシーン猛レース,"￥3,900","￥4,000代",0
1992-03-27,1,3,ETC,タカラ,ちびまる子ちゃん3めざせ！ゲーム大賞,"￥3,800","￥4,000代",0
1992-03-27,1,3,SPT,イマジニア,プロサッカー,"￥3,800","￥4,000代",0
1992-03-27,1,4,SLG,徳間書店インターメディア,リトルマスター2雷光の騎士,"￥4,800","￥5,000代",0
1992-03-27,1,2,TBL,サミー工業,雀四郎,"￥3,800","￥4,000代",0
1992-03-28,1,3,ACT,サン電子,バットマンリターンオブザジョーカー,"￥3,800","￥4,000代",0
1992-04-03,1,3,ACT,エピック・ソニーレコード,HOOK,"￥3,500","￥3,500代",0
1992-04-17,1,3,ETC,アスミック,DX馬券王Z,"￥5,900","￥6,000代",0
1992-04-24,1,4,SPT,ハドソン,炎の闘球児ドッジ弾平,"￥4,500","￥4,500代",0
1992-04-24,1,1,PZL,アクレイムジャパン,ミグレイン,"￥3,980","￥4,000代",0
