日付,🔖性別,年齢,🔖好きな季節,🔖居住タイプ,🔖教育レベル,🔖好みのアクティビティ,未使用,カウント,山までの距離(マイル),ビーチまでの距離(マイル),旅行頻度,年収($),休暇予算($),🔖ペット,🔖環境への懸念
2024-09-01,1,20,spring,rural,bachelor,hiking,0,1,43,239,7,111627,1137,1,1
2024-09-01,1,18,winter,suburban,master,sunbathing,0,1,161,265,4,82041,3688,0,0
2024-09-01,0,22,fall,urban,bachelor,skiing,0,1,270,215,9,78378,2993,0,0
2024-09-01,1,43,spring,suburban,doctorate,hiking,0,1,158,109,8,79828,1767,1,0
2024-09-01,1,31,winter,rural,bachelor,skiing,0,1,74,237,7,46213,4271,0,0
2024-09-01,0,56,winter,rural,master,skiing,0,1,251,68,1,80191,3153,1,1
2024-09-01,2,44,summer,rural,bachelor,skiing,0,1,287,197,6,59610,3862,0,1
2024-09-01,0,26,winter,urban,bachelor,hiking,0,1,248,201,7,98054,1925,1,0
2024-09-01,0,32,summer,suburban,bachelor,skiing,0,1,266,104,3,67240,3909,0,0
2024-09-01,2,32,summer,urban,high school,sunbathing,0,1,26,1,0,74794,1415,0,0
2024-09-01,2,43,fall,urban,doctorate,skiing,0,1,52,297,0,71600,1120,1,0
2024-09-01,2,59,summer,suburban,high school,skiing,0,1,260,143,4,114047,1141,0,0
2024-09-01,2,30,summer,rural,bachelor,hiking,0,1,191,203,7,55594,1825,1,1
2024-09-01,0,68,fall,suburban,bachelor,skiing,0,1,264,226,3,90200,1358,0,1
2024-09-01,2,49,spring,urban,bachelor,skiing,0,1,5,230,0,37365,3324,1,1
2024-09-01,1,56,winter,suburban,master,hiking,0,1,35,55,2,104017,1055,0,1
2024-09-01,0,66,winter,urban,doctorate,sunbathing,0,1,133,7,2,44569,4418,1,0
2024-09-01,0,69,summer,rural,high school,sunbathing,0,1,266,10,8,88432,4305,1,1
2024-09-01,2,49,winter,suburban,doctorate,hiking,0,1,95,265,3,55892,771,1,0
2024-09-01,2,21,spring,rural,bachelor,skiing,0,1,210,76,3,73848,951,0,0
2024-09-01,1,47,winter,suburban,master,hiking,0,1,55,258,3,111899,2126,1,0
2024-09-01,2,54,spring,urban,doctorate,hiking,0,1,113,58,4,110319,858,0,1
2024-09-01,0,40,fall,rural,master,swimming,0,1,10,237,6,39168,2240,0,1
2024-09-01,2,56,spring,suburban,doctorate,skiing,0,1,45,184,3,41953,1267,0,0
2024-09-01,1,62,fall,suburban,bachelor,sunbathing,0,1,25,276,6,57034,3044,0,1
2024-09-01,0,32,summer,rural,high school,skiing,0,1,275,285,4,35142,2776,0,1
2024-09-01,0,60,summer,urban,master,hiking,0,1,266,247,3,74313,4741,0,0
2024-09-01,2,46,winter,rural,doctorate,swimming,0,1,81,296,7,61675,757,1,1
2024-09-01,1,53,spring,rural,bachelor,sunbathing,0,1,52,180,7,72202,4948,0,1
2024-09-01,1,30,summer,urban,bachelor,hiking,0,1,43,144,8,98753,2550,1,0
2024-09-01,2,49,summer,urban,high school,hiking,0,1,85,111,3,102509,1830,1,1
2024-09-01,0,24,fall,rural,doctorate,swimming,0,1,260,53,3,55720,2883,0,0
2024-09-01,0,68,fall,rural,high school,hiking,0,1,234,62,6,45978,3432,0,1
2024-09-01,0,39,summer,urban,doctorate,swimming,0,1,165,190,5,79101,4475,0,1
2024-09-01,2,45,summer,rural,bachelor,skiing,0,1,215,236,3,44060,2747,1,1
2024-09-01,0,19,spring,urban,master,skiing,0,1,143,100,1,109995,3426,0,0
2024-09-01,0,59,summer,rural,doctorate,skiing,0,1,235,92,1,22825,1668,1,0
2024-09-01,2,62,summer,suburban,high school,hiking,0,1,153,253,3,20215,3828,1,0
2024-09-01,0,23,winter,suburban,bachelor,skiing,0,1,36,56,5,31937,1739,0,0
2024-09-01,2,45,winter,suburban,high school,hiking,0,1,194,201,5,20587,3687,1,0
2024-09-01,1,45,winter,rural,master,sunbathing,0,1,285,141,9,22585,3295,1,1
2024-09-01,1,61,winter,suburban,high school,sunbathing,0,1,201,237,5,87551,3538,0,1
2024-09-01,2,61,winter,urban,master,swimming,0,1,155,189,9,82162,1726,0,0
2024-09-01,2,37,fall,suburban,master,skiing,0,1,49,285,0,118231,2863,0,1
2024-09-01,2,47,summer,rural,bachelor,hiking,0,1,84,274,4,93527,1730,0,1
2024-09-01,0,28,winter,urban,bachelor,skiing,0,1,159,12,4,39413,2091,1,1
2024-09-01,0,45,winter,suburban,master,hiking,0,1,23,56,9,90703,4073,0,0
2024-09-01,2,42,summer,urban,bachelor,skiing,0,1,87,242,6,22112,2131,1,0
2024-09-01,2,56,spring,rural,master,sunbathing,0,1,44,66,7,83980,964,1,0
2024-09-01,0,50,summer,rural,bachelor,swimming,0,1,295,58,7,47366,2881,0,1
2024-09-01,0,18,winter,rural,master,swimming,0,1,6,168,8,64532,1742,0,0
2024-09-01,2,44,fall,suburban,master,swimming,0,1,196,244,6,109460,3363,1,0
2024-09-01,0,69,winter,urban,bachelor,sunbathing,0,1,193,110,7,56587,2178,1,1
2024-09-01,0,30,spring,rural,doctorate,hiking,0,1,108,196,7,109854,3066,0,0
2024-09-01,1,58,spring,rural,bachelor,swimming,0,1,295,158,3,95401,4482,0,1
2024-09-01,2,20,winter,suburban,bachelor,hiking,0,1,161,278,3,105122,3667,0,0
2024-09-01,2,56,spring,rural,high school,swimming,0,1,8,227,6,94267,1295,1,1
2024-09-01,0,23,summer,rural,bachelor,swimming,0,1,6,167,1,86900,2659,1,0
2024-09-01,1,25,spring,rural,master,hiking,0,1,190,134,9,74794,1348,0,0
2024-09-01,2,44,spring,rural,doctorate,sunbathing,0,1,246,283,6,66295,853,1,1
2024-09-01,2,26,fall,suburban,bachelor,swimming,0,1,37,149,8,61995,741,0,0
2024-09-01,0,54,summer,suburban,master,hiking,0,1,80,167,5,84518,1667,1,1
2024-09-01,2,50,spring,suburban,bachelor,sunbathing,0,1,123,38,0,25801,2323,1,0
2024-09-01,0,68,fall,suburban,master,hiking,0,1,265,287,6,39295,3463,0,1
2024-09-01,1,59,summer,suburban,master,sunbathing,0,1,115,145,1,86364,1839,1,1
2024-09-01,1,61,winter,suburban,doctorate,swimming,0,1,260,74,6,55225,4179,1,1
2024-09-01,2,41,summer,rural,high school,skiing,0,1,182,159,8,63868,2479,1,1
2024-09-01,0,32,summer,suburban,doctorate,sunbathing,0,1,220,92,2,78202,4208,1,0
2024-09-01,1,49,spring,urban,doctorate,swimming,0,1,240,268,4,55507,3271,1,0
2024-09-01,2,49,fall,suburban,high school,swimming,0,1,206,182,7,67561,4218,1,0
2024-09-01,2,41,spring,suburban,master,hiking,0,1,148,19,1,102819,2078,1,0
2024-09-01,2,58,summer,urban,master,hiking,0,1,104,157,8,58037,4913,0,0
2024-09-01,0,69,winter,rural,master,skiing,0,1,277,26,8,46889,772,0,1
2024-09-01,0,66,summer,rural,bachelor,hiking,0,1,64,53,5,92579,3671,0,0
2024-09-01,1,66,spring,suburban,bachelor,hiking,0,1,84,261,2,110758,797,1,0
2024-09-01,0,69,summer,suburban,bachelor,sunbathing,0,1,203,7,7,75486,3417,0,0
2024-09-01,0,29,fall,suburban,doctorate,swimming,0,1,47,162,5,41745,3780,1,1
2024-09-01,2,56,fall,suburban,master,hiking,0,1,207,272,3,86754,1908,0,0
2024-09-01,2,19,fall,suburban,master,sunbathing,0,1,290,295,0,61047,1304,1,1
2024-09-01,1,20,fall,rural,bachelor,hiking,0,1,83,253,8,39822,1305,1,1
2024-09-01,2,66,summer,urban,doctorate,swimming,0,1,98,243,7,99332,1347,1,1
2024-09-01,2,54,spring,rural,doctorate,swimming,0,1,84,185,9,112061,3810,1,0
2024-09-01,2,66,winter,urban,high school,swimming,0,1,208,227,7,69512,1734,1,1
2024-09-01,0,34,spring,rural,doctorate,sunbathing,0,1,243,18,1,69267,2120,1,0
2024-09-01,2,66,fall,rural,high school,sunbathing,0,1,111,68,2,39887,4211,1,1
2024-09-01,1,19,winter,suburban,doctorate,skiing,0,1,174,286,3,51682,3530,0,0
2024-09-01,1,19,winter,rural,high school,hiking,0,1,68,216,1,82926,4031,0,0
2024-09-01,2,45,spring,urban,doctorate,swimming,0,1,44,261,1,69631,2738,0,1
2024-09-01,2,40,fall,rural,high school,skiing,0,1,224,262,7,39879,3135,0,0
2024-09-01,1,54,winter,rural,high school,swimming,0,1,4,144,3,50449,2329,1,1
2024-09-01,0,49,spring,suburban,doctorate,hiking,0,1,268,44,4,101279,4592,0,0
2024-09-01,2,50,spring,urban,high school,sunbathing,0,1,123,141,2,41717,3557,1,0
2024-09-01,1,18,summer,rural,doctorate,sunbathing,0,1,60,116,0,45571,4954,0,0
2024-09-01,0,36,spring,rural,high school,sunbathing,0,1,67,165,4,40191,2617,1,0
2024-09-01,1,19,winter,urban,high school,sunbathing,0,1,265,103,7,40154,3367,0,0
2024-09-01,0,61,winter,urban,bachelor,skiing,0,1,32,133,6,68964,2775,1,0
2024-09-01,1,43,winter,suburban,master,skiing,0,1,49,191,0,78489,4063,1,0
2024-09-01,1,49,winter,suburban,bachelor,skiing,0,1,147,173,2,97736,4929,1,1
2024-09-01,0,23,spring,suburban,master,skiing,0,1,122,178,6,83471,2400,1,0
2024-09-01,2,49,fall,rural,doctorate,sunbathing,0,1,271,164,0,57571,3142,1,0
2024-09-01,1,21,summer,rural,master,hiking,0,1,10,266,9,57807,1349,0,1
2024-09-01,2,28,winter,urban,master,sunbathing,0,1,147,124,0,88284,4229,1,1
2024-09-01,1,34,spring,rural,high school,hiking,0,1,138,3,6,96036,3099,1,1
2024-09-01,0,55,fall,rural,master,sunbathing,0,1,79,45,7,85542,2970,0,0
2024-09-01,2,41,summer,suburban,doctorate,swimming,0,1,144,59,4,71077,2505,1,1
2024-09-01,0,22,winter,suburban,doctorate,sunbathing,0,1,97,143,8,99794,2543,1,1
2024-09-01,0,69,summer,rural,bachelor,swimming,0,1,215,269,7,36336,2112,0,0
2024-09-01,2,51,summer,urban,master,swimming,0,1,48,146,7,22075,563,1,0
2024-09-01,2,23,fall,rural,doctorate,sunbathing,0,1,110,7,4,90456,3979,1,0
2024-09-01,2,39,fall,urban,doctorate,sunbathing,0,1,198,89,2,81861,3624,0,1
2024-09-01,0,28,winter,rural,bachelor,swimming,0,1,61,217,9,119026,2842,0,0
2024-09-01,0,65,spring,urban,bachelor,swimming,0,1,118,279,7,34896,1303,1,0
2024-09-01,0,33,winter,rural,bachelor,skiing,0,1,56,152,7,32779,4021,0,1
2024-09-01,2,50,summer,urban,high school,swimming,0,1,287,232,1,38187,2962,0,0
2024-09-01,1,26,winter,suburban,high school,hiking,0,1,148,187,9,83148,4100,0,1
2024-09-01,2,23,winter,rural,high school,skiing,0,1,102,264,1,72581,1876,0,1
2024-09-01,1,33,summer,rural,bachelor,sunbathing,0,1,80,121,6,96498,555,0,0
2024-09-01,0,46,fall,urban,doctorate,sunbathing,0,1,27,242,6,56320,4482,0,0
2024-09-01,1,20,fall,rural,bachelor,hiking,0,1,78,99,0,48972,3606,1,1
2024-09-01,2,37,summer,suburban,bachelor,sunbathing,0,1,161,200,8,56228,1331,0,0
2024-09-01,2,53,summer,urban,doctorate,swimming,0,1,123,46,3,108994,1390,0,0
2024-09-01,2,36,fall,rural,bachelor,hiking,0,1,267,284,8,57026,4434,0,1
2024-09-01,1,43,winter,urban,bachelor,sunbathing,0,1,170,231,5,48526,1817,1,1
2024-09-01,2,20,fall,urban,bachelor,sunbathing,0,1,205,172,5,90766,4865,1,1
2024-09-01,1,36,fall,urban,bachelor,hiking,0,1,291,4,9,104638,2659,0,1
2024-09-01,0,37,fall,rural,high school,skiing,0,1,261,103,7,86805,2403,0,1
2024-09-01,1,49,summer,urban,doctorate,sunbathing,0,1,273,159,7,42307,2527,1,0
2024-09-01,0,24,spring,rural,master,skiing,0,1,223,186,4,28615,3445,1,1
2024-09-01,1,69,spring,suburban,bachelor,skiing,0,1,72,124,7,108487,2535,0,0
2024-09-01,0,58,spring,rural,high school,hiking,0,1,51,52,5,88284,1644,1,1
2024-09-01,2,50,winter,rural,high school,skiing,0,1,268,161,0,60182,2583,0,1
2024-09-01,1,57,spring,urban,doctorate,swimming,0,1,29,35,4,73969,4006,1,0
2024-09-01,0,56,winter,suburban,doctorate,skiing,0,1,176,206,6,104699,4811,1,0
2024-09-01,2,35,summer,suburban,bachelor,hiking,0,1,275,14,3,101676,3436,0,0
2024-09-01,2,57,fall,suburban,high school,swimming,0,1,6,84,9,65469,4275,1,0
2024-09-01,0,18,fall,urban,bachelor,swimming,0,1,261,71,9,36935,2390,0,0
2024-09-01,0,28,fall,suburban,doctorate,swimming,0,1,243,242,7,102832,2719,0,1
2024-09-01,1,45,spring,rural,master,skiing,0,1,149,294,7,114280,4930,0,0
2024-09-01,0,42,spring,rural,high school,swimming,0,1,153,85,9,70534,3579,0,1
2024-09-01,0,67,winter,suburban,high school,swimming,0,1,43,182,7,44981,4333,1,0
2024-09-01,2,40,spring,urban,master,sunbathing,0,1,76,235,7,109655,4387,1,1
2024-09-01,0,48,spring,rural,master,sunbathing,0,1,176,186,7,108893,4977,1,0
2024-09-01,0,47,summer,urban,master,skiing,0,1,189,191,7,102574,1732,1,0
2024-09-01,0,59,summer,suburban,doctorate,skiing,0,1,152,3,2,62359,3429,0,1
2024-09-01,2,52,summer,rural,doctorate,sunbathing,0,1,98,232,0,103509,4955,1,0
2024-09-01,2,24,winter,urban,high school,hiking,0,1,162,1,9,116911,3853,0,1
2024-09-01,2,33,spring,urban,doctorate,swimming,0,1,262,236,0,29939,2618,1,1
2024-09-01,2,43,winter,urban,master,hiking,0,1,146,82,7,24056,2173,0,1
2024-09-01,1,65,fall,urban,doctorate,hiking,0,1,242,91,2,79111,4808,0,1
2024-09-01,2,69,summer,urban,bachelor,swimming,0,1,288,97,6,81847,4495,0,1
2024-09-01,2,66,fall,rural,bachelor,hiking,0,1,214,170,9,82031,2818,0,1
2024-09-01,1,19,fall,urban,high school,skiing,0,1,7,98,3,113042,1763,1,1
2024-09-01,1,18,summer,rural,bachelor,skiing,0,1,208,233,5,47343,1784,1,1
2024-09-01,1,65,spring,rural,doctorate,skiing,0,1,242,10,6,85401,3105,1,0
2024-09-01,0,29,summer,urban,master,sunbathing,0,1,140,38,0,58296,1985,0,1
2024-09-01,2,22,fall,suburban,bachelor,sunbathing,0,1,186,177,0,33438,4386,1,0
2024-09-01,0,54,winter,suburban,doctorate,skiing,0,1,266,230,7,94669,4522,0,0
2024-09-01,1,49,summer,suburban,master,sunbathing,0,1,287,2,6,81295,509,1,1
